Contract Number,Contractor,Address,Phone,Email,Web Address,SAM UEI,NAICS,Socio-Economic,Current Option Period End Date,Ultimate Contract End Date,Govt. POC Name,Govt. POC Phone,Govt. POC Email,Contract Clauses Link,EPLS Status,Terms & Conditions Link
47QRAA21D0054,"#1 STRATEGIC SOLUTIONS, LIMITED LIABILITY COMPANY","6537 APOLLO WAY, INDIANAPOLIS, IN 46278-1945",3177502693,susan@strategicsolutionsusa.com,http://www.strategicsolutionsusa.com/,N3XTRPJH2S84,541511,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, SBA-Certified Economically Disadvantaged Women-Owned Small Business, ","Apr 30, 2026","Apr 30, 2041","Darrell Howell
210-709-9555
darrell.howell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA21D0054/47QRAA21D0054_online.htm
"47QRCA25DS603
47QTCA25D006B
47QRCA25DU503
47QRCA25DV074",AERMOR LLC,"207 BUSINESS PARK DR, STE 100, VIRGINIA BEACH, VA 23462-6536",(757)214-0501,penny.morgan@aermor.com,http://aermor.com/,FX9ZNBSKELC6,336611,"Small Business, Women-Owned Small Business, SBA-Certified Women-Owned Small Business, Service Disabled Veteran Owned Small Business, ","Dec 18, 2029",,"Mckenna Heath
817-978-1011
mckenna.heath@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QTCA25D006B/47QTCA25D006B_online.htm
47QSEA21D007P,ANVIL CASES INC,"1242 E EDNA PL, COVINA, CA 91724-2539",(203) 352-6900,joe@calzonecase.com,http://www.calzoneandanvil.com/,HEM6HJFUJL41,326199,"Small Business, ","Sep 8, 2026","Sep 8, 2041","Benjamin Baellow
913-210-9331
benjamin.baellow@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QSEA21D007P/47QSEA21D007P_online.htm
36F79724D0213,"0625 LLC
DBA: RINSADA","10492 ALLANTE COURT, GIBSONIA, PA 15044",347-746-7232,srini@rinsada.com,http://www.rinsada.com/,PFR8HBH8J473,,"Small Business, ","Sep 30, 2029",,"JUANA ASTUDILLO
(708)786-7737
juana.astudillo@va.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/36F79724D0213/36F79724D0213_online.htm
GS-10F-0379Y,AERO E H & S INC,"10310B BALTIMORE NATIONAL PIKE, ELLICOTT CITY, MD 21042-2128",4104803636,hentgen@aeroehs.com,http://www.aeroehs.net/,VF9WHJ3K9NK3,541620,"Small Business, ","Jul 4, 2027","Jul 4, 2032","Ethel Jones
404-215-6911
ethel.jones@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS10F0379Y/GS10F0379Y_online.htm
47QTCA24D0027,"ANVIL DIGITAL, LLC","880 MONON GREEN BLVD STE 101, CARMEL, IN 46032-3363",(260)409-0359,mcclain@anvildigital.com,http://www.anvildigital.com/,Q68FNHVUJJ26,541519,"Small Business, Veteran Owned Small Business, ","Nov 29, 2028","Nov 29, 2043","Gail Smith
770-240-0603
gail.smith@gsa.gov",,,,Contractor not found on the Excluded Parties List System,
47QRAA24D0083,"1 ACORD SERVICES, LLC","6815 CARTLEDGE RD, BOX SPRINGS, GA 31801-2020",910-544-5771,dane.acord@1acord.com,http://www.1acord.com/,E1WSK3KM3DK7,541690,"Small Business, Service Disabled Veteran Owned Small Business, SBA Certified Small Disadvantaged Business, ","May 12, 2029","May 12, 2044","Alana Nweke
202-899-0837
alana.nweke@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/47QRAA24D0083/47QRAA24D0083_online.htm
GS-30F-0030X,AERO SPECIALTIES INC,"11175 W EMERALD ST, BOISE, ID 83713-8932",208-378-9888,DEREK@AEROSPECIALTIES.COM,http://www.aerospecialties.com/,G2NEVSFVF3Y5,336112,"Other Than Small Business, ","Jul 24, 2026","Jul 24, 2031","Pamela T Dail
202-694-2919
pamela.dail@gsa.gov",,,,Contractor not found on the Excluded Parties List System,https://www.gsaadvantage.gov/ref_text/GS30F0030X/GS30F0030X_online.htm
47QTCB21D0300,ANVIL JV CONSULTING LLC,"12211 LAKE JAMES DR, HERNDON, VA 20171-2010",(703)296-7038,brittney.killen@forgegroupllc.com,https://www.anviljv.com/,Q6EKGA4K7TW7,541512,"Small Business, SBA Certified Small Disadvantaged Business, SBA Certified 8(a) Firm, ","Jul 1, 2026",,"Jean E Fluevog
816-823-2660
jean.fluevog@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
47QTCB22D0554,1 ADAPTIVE ARROW ALLIANCE LLC,"1054 POCAHONTAS TRL, KING WILLIAM, VA 23086-2114",(804)402-1632,STARS3@1a3llc.com,http://1a3llc.com/,DRP1WPYBJRR8,541512,"Small Business, Tribally Owned Firm, SBA Certified Small Disadvantaged Business, ","Jul 1, 2026",,"Anthony D. Russell
913-415-4744
anthony.d.russell@gsa.gov",,,,Contractor not found on the Excluded Parties List System,http://www.gsa.gov/stars3
